,Date,Type,Price,PnL
0,2025-12-01,SHORT,159.0,
1,2025-12-02,EXIT,157.24,429.4399999999978
2,2025-12-02,SHORT,157.24,
3,2025-12-03,EXIT,155.2,516.1200000000051
4,2025-12-03,SHORT,155.2,
5,2025-12-04,EXIT,154.16,273.51999999999794
6,2025-12-04,SHORT,154.16,
7,2025-12-05,EXIT,151.56,751.3999999999984
8,2025-12-11,SHORT,156.9,
9,2025-12-12,EXIT,156.2,160.3000000000039
10,2025-12-12,SHORT,156.2,
11,2025-12-15,EXIT,156.0,46.59999999999735
12,2025-12-15,SHORT,156.0,
13,2025-12-16,EXIT,153.28,644.6399999999998
14,2025-12-16,SHORT,153.28,
15,2025-12-17,EXIT,150.98,529.0000000000026
16,2025-12-17,SHORT,150.98,
17,2025-12-18,EXIT,150.01,229.88999999999973
18,2025-12-18,SHORT,150.01,
19,2025-12-19,EXIT,153.79,-884.5200000000002
20,2025-12-19,SHORT,153.79,
21,2025-12-22,EXIT,157.96,-963.2700000000036
22,2025-12-30,LONG,171.55,
